aphia_id,species,sex,spatial_scale,ices_stock,ices_area,time_period,sample_size,l25_cm,l25_se_cm,l25_ci_lower_cm,l25_ci_upper_cm,l50_cm,l50_se_cm,l50_ci_lower_cm,l50_ci_upper_cm,l75_cm,l75_se_cm,l75_ci_lower_cm,l75_ci_upper_cm,model_auc,model_tjur_r2
127136,Glyptocephalus cynoglossus,M,Global,NA,NA,2005-2009,156,18.84,1.67,14.17,20.61,23.29,0.88,21.41,24.61,27.73,1.1,26.28,30.37,0.81,0.35
126484,Merluccius merluccius,M,Global,NA,NA,2005-2009,8773,21.86,0.17,21.51,22.19,27.13,0.12,26.91,27.35,32.4,0.21,32.06,32.85,0.82,0.29
127136,Glyptocephalus cynoglossus,F,Global,NA,NA,2005-2009,150,21.25,1.42,18.43,23.83,26.46,0.99,24.37,28.28,31.66,1.36,29.48,34.69,0.84,0.4
126484,Merluccius merluccius,F,Global,NA,NA,2005-2009,8763,40.71,0.22,40.35,41.12,46.86,0.38,46.26,47.54,53.02,0.56,52,53.98,0.92,0.4
126484,Merluccius merluccius,M,Global,NA,NA,2020-2024,5080,20.42,0.25,19.93,20.89,25.78,0.14,25.52,26.02,31.13,0.3,30.58,31.72,0.84,0.32
126484,Merluccius merluccius,F,Global,NA,NA,2020-2024,5653,34.98,0.27,34.38,35.43,42.7,0.46,41.9,43.6,50.42,0.73,49.11,51.78,0.91,0.48
126484,Merluccius merluccius,M,Global,NA,NA,2025-2029,631,23.17,0.49,22.24,23.95,27.28,0.38,26.58,27.96,31.39,0.54,30.39,32.45,0.89,0.46
126484,Merluccius merluccius,F,Global,NA,NA,2025-2029,694,33.74,0.59,32.82,35.04,38.93,0.59,37.82,40.26,44.13,0.85,42.75,45.99,0.93,0.56
127259,Chelidonichthys cuculus,F,Global,NA,NA,2015-2019,565,15.54,0.71,14.19,17.04,18.48,0.53,17.54,19.55,21.42,0.42,20.68,22.31,0.93,0.41
127259,Chelidonichthys cuculus,M,Global,NA,NA,2015-2019,255,16.2,0.99,14.09,17.87,19.88,0.66,18.53,20.99,23.56,0.63,22.43,24.76,0.82,0.28
126421,Sardina pilchardus,M,Global,NA,NA,2015-2019,41,13.69,0.54,12.82,14.74,14.95,0.55,13.92,16.16,16.21,0.78,14.87,17.84,0.9,0.54
126421,Sardina pilchardus,F,Global,NA,NA,2015-2019,59,14.23,0.47,13.52,15.43,15.4,0.42,14.78,16.46,16.56,0.49,15.68,17.49,0.91,0.6
126445,Trisopterus luscus,M,Global,NA,NA,2015-2019,537,12.26,0.83,10.54,13.58,15.94,0.48,14.84,16.77,19.62,0.37,18.87,20.3,0.83,0.28
126445,Trisopterus luscus,F,Global,NA,NA,2015-2019,682,14.1,0.94,11.89,15.51,19.23,0.62,17.86,20.36,24.35,0.58,23.37,25.47,0.84,0.3
127259,Chelidonichthys cuculus,M,Global,NA,NA,2020-2024,321,21.32,0.57,20.12,22.33,24.74,0.45,23.85,25.53,28.17,0.57,27.17,29.33,0.84,0.34
127259,Chelidonichthys cuculus,F,Global,NA,NA,2020-2024,792,18.28,0.62,17.09,19.46,22.29,0.4,21.48,23.06,26.3,0.39,25.53,26.89,0.86,0.37
126445,Trisopterus luscus,F,Global,NA,NA,2020-2024,821,14.86,0.5,13.84,15.71,18.14,0.33,17.45,18.77,21.41,0.38,20.69,22.09,0.9,0.49
126445,Trisopterus luscus,M,Global,NA,NA,2020-2024,769,13.13,0.55,12.06,14.27,16.67,0.27,16.21,17.21,20.22,0.34,19.62,20.97,0.82,0.29
127146,Lepidorhombus whiffiagonis,F,Global,NA,NA,2020-2024,315,17.46,0.46,16.77,18.44,20.1,0.8,18.65,21.66,22.74,1.34,20.41,25.51,0.98,0.78
127146,Lepidorhombus whiffiagonis,M,Global,NA,NA,2020-2024,98,17.34,0.4,16.81,18.29,18.28,0.62,17.54,19.8,19.21,0.93,18.08,21.49,0.98,0.8
